name,platform,file,sequence,vol_min,vol_max,dist_min,dist_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,volume_min_falloff_curve,volumefalloffcurve,reverb_send,dist_reverb_max,reverb_min_falloff_curve,reverb_falloff_curve,pitch_min,pitch_max,randomize_type,spatialized,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,chainaliasname,startdelay,speakermap,lfe percentage,center percentage,envelop_min,envelop_max,envelop percentage,occlusion_level,occlusion_wet_dry,real_delay,distance_lpf,move_type,move_time,min_priority,max_priority,min_priority_threshold,max_priority_threshold,subtitle,doppler
# AMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#roof_rain_loop_l,,Stream\Backgrounds\rain\roof_metal_rain_loop_l.wav,,0.8,0.8,500,1800,,,,,full_vol,,curve3,0.75,2200,,curve2,0.95,1.05,pitch,3d,streamed,,looping,,,,,,,,,,,,,,0,,no,no,,,1,1,1,1,,
#roof_rain_loop_r,,Stream\Backgrounds\rain\roof_metal_rain_loop_r.wav,,0.8,0.8,500,1800,,,,,full_vol,,curve3,0.75,2200,,curve2,0.95,1.05,pitch,3d,streamed,,looping,,,,,,,,,,,,,,0,,no,no,,,1,1,1,1,,
#roof_rain_loop,,Stream\Backgrounds\rain\roof_metal_rain_loop.wav,,0.8,0.8,,,,,,,full_vol,,,0.75,,,,1,1,,3d,streamed,,looping,,,,,,,,wpn_all,,,,,,0,,no,no,,,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ocean_calm_l,,SFX\Amb\Pacific\ocean\choppy_surf_l.wav,,0.75,0.75,500,1400,,,,,ambience,,curve3,0.35,1800,,curve2,0.9,1,pitch,3d,,,looping,,,,,,,,,,,10,400,0.25,0.1,,no,no,,,50,80,0.25,1,,
ocean_calm_r,,SFX\Amb\Pacific\ocean\choppy_surf_r.wav,,0.75,0.75,500,1400,,,,,ambience,,curve3,0.35,1800,,curve2,0.9,1,pitch,3d,,,looping,,,,,,,,,,,10,400,0.25,0.1,,no,no,,,50,80,0.25,1,,
dist_ocean_L,,null.wav,,0.8,0.8,500,2000,,,,,ambience,,curve4,0.35,3000,,curve2,1,1.1,pitch,3d,,,looping,,,,,,,,,,,,,,0,,no,no,,,30,60,0.25,1,,
dist_ocean_R,,null.wav,,0.8,0.8,500,2000,,,,,ambience,,curve4,0.35,3000,,curve2,1,1.1,pitch,3d,,,looping,,,,,,,,,,,,,,0,,no,no,,,30,60,0.25,1,,
#dist_ocean_L,,SFX\Levels\training\ocean_left_channel.wav,,0.8,0.8,500,2000,,,,,ambience,,curve4,0.35,3000,,curve2,1,1.1,pitch,3d,,,looping,,,,,,,,,,,,,,0,,no,no,,,30,60,0.25,1,,
#dist_ocean_R,,SFX\Levels\training\ocean_right_channel.wav,,0.8,0.8,500,2000,,,,,ambience,,curve4,0.35,3000,,curve2,1,1.1,pitch,3d,,,looping,,,,,,,,,,,,,,0,,no,no,,,30,60,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thunder_closeL,,null.wav,,1,1,3000,18000,1,reject,,,ambience,,,1,50000,,curve4,0.7,1,,3d,,0.8,,,,,,thunder_farR,,,,0.5,,,,,0.15,,,no,left_player,11,80,90,0.25,1,,
thunder_closeR,,null.wav,,1,1,3000,18000,1,reject,,,ambience,,,1,50000,,curve4,0.7,1,,3d,,0.8,,,,,,,,,,0.5,,,,,0.15,,,no,right_player,11,80,90,0.25,1,,
thunder_farL,,null.wav,,1,1,3000,18000,1,reject,,,ambience,,,1,50000,,curve4,0.7,1,,3d,,0.8,,,,,,thunder_farR,,,,0.5,,,,,0.15,,,no,left_player,11,80,90,0.25,1,,
thunder_farR,,null.wav,,1,1,3000,18000,1,reject,,,ambience,,,1,50000,,curve4,0.7,1,,3d,,0.8,,,,,,,,,,0.5,,,,,0.15,,,no,right_player,11,80,90,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
light,,SFX\Amb\lightbulbs\light_humming_00.wav,,0.85,0.95,50,600,,,,,ambience,,curve2,,800,,curve2,0.85,1.05,pitch,3d,,,looping,,,,,,,,,,,,,,0.25,,no,no,,,30,50,0.1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain_tin,,SFX/Amb/rain/on_stuff/on_tin/tin_rain_00.wav,1,0.45,0.55,300,800,15,priority,,,ambience,,curve2,1,1100,,curve1,0.9,1.05,variant,3d,,,looping,,,,,,,,,,,,,,0.15,,,,,,10,40,0.25,0.8,,
