name,sequence,file,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,dist_reverb_max,bus,priority,spatialized,type,probability,loop,masterslave,loadspec,reverb_falloff_curve,subtitle,compression,randomize_type,secondaryaliasname,chainaliasname,volumefalloffcurve,probability,startdelay,speakermap,reverb,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage,occlusion_level,min_priority,max_priority,min_priority_threshold,max_priority_threshold


# Ambient SFX - Static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steam_leak_high,,SFX\Levels\mp_drum\steam_leak_high.wav,0.18,0.18,,,5,450,,ambience,,3d,,,looping,,all_mp,,,,,,,curve1,,,,,,,,,,,,20,90,0.25,1
steam_leak_low,,SFX\Levels\mp_drum\steam_leak_low.wav,0.14,0.14,,,5,550,,ambience,,3d,,,looping,,all_mp,,,,,,,curve1,,,,,,,,,,,,20,90,0.25,1
steam_leak_high_a,,SFX\Levels\mp_drum\steam_leak_high.wav,0.19,0.19,0.9,0.9,5,450,,ambience,,3d,,,looping,,all_mp,,,,,,,curve1,,,,,,,,,,,,20,90,0.25,1
steam_leak_low_a,,SFX\Levels\mp_drum\steam_leak_low.wav,0.15,0.15,0.9,0.9,5,550,,ambience,,3d,,,looping,,all_mp,,,,,,,curve1,,,,,,,,,,,,20,90,0.25,1
steam_grating,,SFX\Levels\mp_drum\steam_grating.wav,0.65,0.65,,,15,560,,ambience,,3d,,,looping,,all_mp,,,,,,,curve1,,,,,,,,,,,,20,90,0.25,1

paper_fire,,SFX\Levels\mp_drum\fires\paper_fire_00.wav,0.3,0.3,,,5,350,,ambience,,3d,,,looping,,all_mp,,,,,,,curve1,,,,,,,,,,,0.3,20,90,0.25,1
small_fire,,SFX\Levels\mp_drum\fires\dyn_fire_00.wav,0.4,0.4,,,15,525,,ambience,,3d,,,looping,,all_mp,,,,,small_fire_a,,curve1,,,,,,,,,,,0.3,20,90,0.25,1
small_fire_a,,SFX\Levels\mp_drum\fires\fires_01.wav,0.4,0.4,,,50,550,,ambience,,3d,,,looping,,all_mp,,,,,,,curve2,,,,,,,,,,,0.1,20,90,0.25,1
small_fire_2,,SFX\Levels\mp_drum\fires\hut_fire_00.wav,0.4,0.4,,,15,540,,ambience,,3d,,,looping,,all_mp,,,,,small_fire_2a,,curve1,,,,,,,,,,,0.1,20,90,0.25,1
small_fire_2a,,SFX\Levels\mp_drum\fires\fire_ember_bg.wav,0.5,0.5,,,5,320,,ambience,,3d,,,looping,,all_mp,,,,,,,curve1,,,,,,,,,,,0.1,20,90,0.25,1
small_fire_3,,SFX\Levels\mp_drum\fires\dyn_fire_00.wav,0.4,0.4,,,15,525,,ambience,,3d,,,looping,,all_mp,,,,,paper_fire,,curve1,,,,,,,,,,,,20,90,0.25,1
small_fire_4,,SFX\Levels\mp_drum\fires\hut_fire_00.wav,0.4,0.4,,,15,540,,ambience,,3d,,,looping,,all_mp,,,,,small_fire_3,,curve1,,,,,,,,,,,,20,90,0.25,1

