name,platform,mature,file,sequence,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,dist_reverb_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,volume_min_falloff_curve,volumefalloffcurve,reverb_send,reverb_min_falloff_curve,reverb_falloff_curve,randomize_type,spatialized,type,probability,loop,masterslave,loadspec,compression,secondaryaliasname,chainaliasname,startdelay,speakermap,lfe percentage,center percentage,envelop_min,envelop_max,envelop percentage,occlusion_level,move_type,move_time,real_delay,distance_lpf,min_priority,max_priority,min_priority_threshold,max_priority_threshold,subtitle,isbig
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Background Tracks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#bgt_bunker,,,Stream/Level/Pel2/bunker/BG_Bunker.wav,,0.5,,,,,,,,,,,ambience,,,,,,,2d,streamed,,looping,,all_mp,,,,500,,,,,,,0,,,,,100,100,0.25,1,,
bg_steady,,,Stream/backgrounds/training/bg_steady_c.wav,,0.7,0.7,1,1,,,,,,,,ambience,,,,,curve2,,2d,streamed,,looping,,all_mp,,,,,music,,,,,,,,,,,100,100,0.25,1,,
cave_int,,,Stream/backgrounds/room_tones/ok2_cave_int.wav,,0.8,0.8,1,1,,,,,,,,ambience,,,,,curve2,,2d,streamed,,looping,,all_mp,,,,,music,,,,,,,,,,,100,100,0.25,1,,
partial,,,Stream/backgrounds/wind/int_wind/int_wind_00.wav,,0.6,0.6,1,1,,,,,,,,ambience,,,,,curve2,,2d,streamed,,looping,,all_mp,,,,,music,,,,,,,,,,,100,100,0.25,1,,
full,,,Stream/backgrounds/room_tones/ber3b_closed_00.wav,,0.5,0.5,1,1,,,,,,,,ambience,,,,,curve2,,2d,streamed,,looping,,all_mp,,,,,music,,,,,,,,,,,100,100,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wind_in_valley_L,,,Stream\Level\mak\line_wind\wind_on_hill_L.wav,,0.7,0.7,,,300,2000,2800,,,,,ambience,,,,,curve2,,3d,streamed,,looping,,all_mp,,,,,,,,250,400,0.5,0,,,,,20,50,0.25,1,,
wind_in_valley_R,,,Stream\Level\mak\line_wind\wind_on_hill_R.wav,,0.7,0.7,,,300,2000,2800,,,,,ambience,,,,,curve2,,3d,streamed,,looping,,all_mp,,,,,,,,250,400,0.5,0,,,,,20,50,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ambient SFX - Static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_tree,,,SFX/Amb/Wind/leaves_##,,0.75,1,0.7,1.1,400,1500,2000,8,reject,,,ambience,,curve1,,,curve2,pitch,3d,,,,,all_mp,,amb_raven_chain,,,,,,,,,0.15,,,,,5,10,0.1,1,,
amb_raven_chain,,,SFX/Amb/animals/raven_##,,0.2,0.5,0.9,1.1,10,800,2500,,,,,ambience,,,,,curve2,,3d,,0.25,,,all_mp,,,,,,,,,,,0.2,,,,,5,10,0.1,1,,
amb_grass,,,SFX/Amb/Wind/gusts/thrugrass_##,,0.5,0.85,0.6,1.1,300,1200,1500,8,reject,,,ambience,,curve1,,,curve2,pitch,3d,,,,,all_mp,,,,,,,,,,,0.15,,,,,5,10,0.1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ambient SFX - Spawned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Day Package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cicada,,,SFX/Amb/animals/cicada_##,,0.1,0.15,0.9,1.1,100,800,,,,10,reject,ambience,,,,,,,3d,,0.8,,,all_mp,,,,,,,,,,,0.2,,,,,5,10,0.1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anml_chatter,,,sfx/levels/mp_castle/anml_chatter_##,,0.7,0.9,0.9,1.1,350,1600,2000,,,10,reject,ambience,,curve3,0.8,,curve2,pitch,3d,,0.75,,,all_mp,,waterbirds,,,,,,,,,0.35,,,,no,30,50,0.1,0.9,,
bird_chatter,,,sfx/levels/mp_castle/bird_chatter_##,,0.6,0.8,0.9,1.1,350,1600,2000,,,10,reject,ambience,,curve3,0.8,,curve2,pitch,3d,,0.65,,,all_mp,,waterbirds,,,,,,,,,0.35,,,,no,30,50,0.1,0.9,,
waterbirds,,,SFX\Amb\animals\waterbirds\waterbirds_00.wav,1,0.5,0.7,0.9,1.1,350,1600,2000,,,2,reject,ambience,,curve3,0.8,,curve2,pitch,3d,,0.25,,,all_mp,,,,800,,,,,,,0.35,,,,no,30,50,0.1,0.9,,
waterbirds,,,SFX\Amb\animals\waterbirds\waterbirds_01.wav,2,0.5,0.7,0.9,1.1,350,1600,2000,,,2,reject,ambience,,curve3,0.8,,curve2,pitch,3d,,0.25,,,all_mp,,,,800,,,,,,,0.35,,,,no,30,50,0.1,0.9,,
waterbirds,,,SFX\Amb\animals\waterbirds\waterbirds_04.wav,3,0.5,0.7,0.9,1.1,350,1600,2000,,,2,reject,ambience,,curve3,0.8,,curve2,pitch,3d,,0.25,,,all_mp,,,,800,,,,,,,0.35,,,,no,30,50,0.1,0.9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wind_howl,,,SFX\Levels\mp_subway\wind\wind_howl_##,,0.7,0.7,0.95,1.05,200,600,1000,,,,,ambience,,curve3,,,curve3,pitch,3d,,,,,all_mp,,,,,,,,50,300,0.5,0.35,,,,no,30,50,0.1,0.9,,
wood_creak,,,SFX\Amb\wood_creak_v2_##,,0.6,0.7,0.95,1.05,600,1400,1800,,,,,ambience,,curve3,,,curve3,pitch,3d,,0.7,,,all_mp,,,,,,,,,,,0.5,,,,no,30,50,0.1,0.9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_bats,,,SFX\Amb\animals\bats_##,,0.75,0.85,0.9,1.1,100,500,1100,,,,,ambience,,curve3,,,curve2,pitch,3d,,,,,all_mp,,,,,,,,,,,0.2,,,,,5,10,0.1,1,,
amb_flies,,,SFX\Amb\animals\flies\amb_flies01.wav,,0.2,0.35,0.9,1.1,50,400,600,,,,,ambience,,curve3,,,curve2,pitch,3d,,,looping,,all_mp,,,,,,,,,,,0.15,,,,,5,10,0.1,1,,
amb_dust,,,SFX\Amb\debris\rock_dust_##,,0.1,0.15,0.9,1.1,100,400,800,,,,,ambience,,curve3,,,curve2,pitch,3d,,,,,all_mp,,,,,,,,,,,0.35,,,,,5,10,0.1,1,,
flag,,,SFX\Amb\flag_##,,0.7,0.75,0.9,1.1,100,800,1200,,,,,ambience,,curve3,,,curve2,pitch,3d,,,looping,,all_mp,,,,,,,,,,,0.35,,,,,5,10,0.1,1,,
bell,,,SFX\Amb\bell_##,,0.65,0.75,0.9,1.1,20,500,800,,,,,ambience,,curve3,1,,curve2,pitch,3d,,,,,all_mp,,,,,,,,,,,0.2,,,,,5,10,0.1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
creek_calm,,,SFX\Amb\rivers\river_roar_00.wav,,0.35,0.35,1,1,800,1700,2000,,,,,ambience,,curve3,,,curve3,,3d,,,looping,,all_mp,,creek_calm_close,,,,,,250,800,0.5,0.25,,,,no,30,50,0.1,1,,
