name,sequence,file,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,dist_reverb_max,bus,priority,spatialized,type,probability,loop,masterslave,loadspec,reverb_falloff_curve,subtitle,compression,randomize_type,secondaryaliasname,chainaliasname,volumefalloffcurve,probability,startdelay,speakermap,reverb,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage,occlusion_level,min_priority,max_priority,min_priority_threshold,max_priority_threshold


# Ambient SFX - Static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ind_wind_L,,sfx\levels\mp_subway\wind\int_wind_02_L.wav,0.6,0.6,,,10,1000,1500,ambience,90,3d,,,looping,,all_mp,,,,,,,curve2,,,,,,,,,,,0.1,60,70,0.25,1
ind_wind_R,,sfx\levels\mp_subway\wind\int_wind_02_R.wav,0.6,0.6,,,10,1000,1500,ambience,90,3d,,,looping,,all_mp,,,,,,,curve2,,,,,,,,,,,0.1,60,70,0.25,1
ind_wind_2_L,,sfx\levels\mp_subway\wind\int_wind_02_L.wav,0.75,0.75,1.4,,20,1400,1500,ambience,90,3d,,,looping,,all_mp,,,,,,,curve1,,,,,,,,,,,0.4,60,70,0.25,1
ind_wind_2_R,,sfx\levels\mp_subway\wind\int_wind_02_R.wav,0.75,0.75,1.4,,20,1400,1500,ambience,90,3d,,,looping,,all_mp,,,,,,,curve1,,,,,,,,,,,0.4,60,70,0.25,1
low_wind,,sfx\levels\mp_subway\wind\subway_ind_wind.wav,0.7,0.7,,,10,800,,ambience,90,3d,,,looping,,all_mp,,,,,,,curve2,,,,,,,,,,,,20,80,0.25,1
out_wind_L,,sfx\levels\mp_subway\wind\out_wind_L.wav,0.8,0.8,,,10,1100,1200,ambience,90,3d,,,looping,,all_mp,,,,,,,curve2,,,,,,,,,,,0.4,20,70,0.25,1
out_wind_R,,sfx\levels\mp_subway\wind\out_wind_R.wav,0.8,0.8,,,10,1100,1200,ambience,90,3d,,,looping,,all_mp,,,,,,,curve2,,,,,,,,,,,0.4,20,70,0.25,1
out_wind_top_L,,sfx\levels\mp_subway\wind\out_wind_L.wav,0.95,0.95,1.15,,25,2500,1200,ambience,90,3d,,,looping,,all_mp,,,,,,,curve2,,,,,,,,,,,0.3,20,70,0.25,1
out_wind_top_R,,sfx\levels\mp_subway\wind\out_wind_R.wav,0.95,0.95,1.15,,25,2500,1200,ambience,90,3d,,,looping,,all_mp,,,,,,,curve2,,,,,,,,,,,0.3,20,70,0.25,1
lower_tunnel,,sfx\levels\mp_subway\wind\lower_tunnel_wind.wav,0.6,0.6,,,10,600,800,ambience,90,3d,,,looping,,all_mp,,,,,,,curve2,,,,,,,,,,,,20,90,0.25,1

amb_booming_01,,stream\level\mp_subway\amb_booming_01.wav,0.86,0.86,,,3000,18000,18000,ambience,,3d,,,looping,,all_mp,,,,,,,curve1,,,,,,,,15000,18000,0.25,0.2,20,90,0.25,1
amb_booming_02,,stream\level\mp_subway\amb_booming_02.wav,0.96,0.96,,,3000,18000,18000,ambience,,3d,,,looping,,all_mp,,,,,,,curve1,,,,,,,,15000,18000,0.25,0.2,20,90,0.25,1
