name,sequence,file,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,dist_reverb_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,priority,spatialized,type,probability,loop,masterslave,loadspec,reverb_falloff_curve,subtitle,compression,randomize_type,secondaryaliasname,chainaliasname,volumefalloffcurve,probability,startdelay,speakermap,reverb,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage,occlusion_level,move_type,move_time,real_delay,distance_lpf,min_priority,max_priority,min_priority_threshold,max_priority_threshold
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ambient SFX - Static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# WIND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partial_wind,,Stream\Backgrounds\Room_Tones\ber3b_partial_high_00.wav,0.55,0.55,1,1,,,,,,,,ambience,,2d,streamed,,looping,,,,,,,,,,,,,,,,,,,,,,,,,40,80,0.25,1
indoors_wind,,Stream\Backgrounds\Room_Tones\ber3b_closed_00.wav,0.55,0.55,1,1,,,,,,,,ambience,,2d,streamed,,looping,,,,,,,,,,,,,,,,,,,,,,,,,40,80,0.25,1
outdoors_wind,,Stream\Backgrounds\Wind\ext_wind\ext_wind_00.wav,0.55,0.55,1,1,,,,,,,,ambience,,2d,streamed,,looping,,,,,,,,,,,,,,,,,,,,,,,,,40,80,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# FIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fire_large_a,,SFX\Levels\Makin\hut_fire_##,0.6,0.7,0.8,1.05,300,1800,2000,,,,,ambience,,3d,,,looping,,,curve3,,,pitch,,,curve3,,,,0.8,,,,,,,0.3,,,,,20,40,0.15,0.85
fire_small_a,,SFX\Levels\nazi_zombie_factory\fire_small.wav,0.8,0.9,0.8,1.05,100,1000,1500,,,,,ambience,,3d,,,looping,,,curve3,,,pitch,,,curve3,,,,0.8,,,,,,,0.3,,,,,20,40,0.15,0.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#wood_creak,,SFX\Amb\wood_creak_v3_##,0.6,0.8,0.8,1.05,100,800,1200,8,reject,,,ambience,,3d,,,,,,curve3,,,pitch,,,curve3,,,,0.8,,,,,,,,,,,,20,60,0.25,0.8
#metal_creak,,SFX\Amb\metal\scrape_##,0.85,0.95,0.95,1.05,100,800,1500,,,,,ambience,,3d,,,,,,curve4,,,,,,curve3,,,,0.8,,,,,,,0.25,,,,,40,60,0.25,1
#metal_groan,,SFX\Amb\metal\wronk_##,0.85,0.95,0.95,1.05,100,800,1500,,,,,ambience,,3d,,,,,,curve4,,,,,,curve3,,,,0.8,,,,,,,0.25,,,,,40,60,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
