name,sequence,file,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,dist_reverb_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,priority,spatialized,type,probability,loop,masterslave,loadspec,reverb_falloff_curve,subtitle,compression,randomize_type,secondaryaliasname,chainaliasname,volumefalloffcurve,probability,startdelay,speakermap,reverb,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage,occlusion_level,move_type,move_time,real_delay,distance_lpf,min_priority,max_priority,min_priority_threshold,max_priority_threshold,doppler
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ambient SFX - Static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# WIND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghost_wind,,SFX\Levels\zombie\maps\giant\wind_loop.wav,0.35,0.35,1,1,,,,,,,,ambience,,2d,streamed,,looping,,,,,,,,,,,,,,,,,,,,,,,,,40,80,0.25,1,
wind_howl,,SFX\Levels\mp_subway\wind\wind_howl_##,0.85,0.95,0.95,1.05,200,800,1300,,,1,reject,ambience,,3d,,,,,,curve3,,,pitch,,,curve3,,,,0.6,,,,50,250,0.5,0.35,,,,no,30,50,0.1,0.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# FIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_fire,,SFX\Levels\Makin\hut_fire_##,0.5,0.6,0.8,1.05,100,1500,,10,priority,,,ambience,,3d,,,looping,,,curve3,,,pitch,,,curve2,,,,,,,,,,,0.3,,,,,20,40,0.15,0.85,
small_fire,,SFX\Levels\nazi_zombie_sumpf\amb_fire\small_##,0.85,0.95,0.8,1.05,50,1000,,8,priority,,,ambience,,3d,,,looping,,,curve3,,,pitch,,,curve2,,,,0.45,,,,50,200,0.3,0.3,,,,,20,40,0.15,0.85,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wood_creak,,SFX\Amb\wood_creak_v3_##,0.6,0.8,0.8,1.05,100,1000,,8,reject,,,ambience,,3d,,,,,,curve3,,,pitch,,,curve3,,,,0.8,,,,,,,,,,,,20,60,0.25,0.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air_raid_a,,sfx\levels\nazi_zombie_factory\air_raid\air_raid_loop_01.wav,0.95,0.95,,,3000,10000,10500,,,,,ambience,,3d,,,looping,,,,,,,,,curve1,,,,,,,,,,,0.65,,,,,20,90,0.25,1,
air_raid_b,,sfx\levels\nazi_zombie_factory\air_raid\air_raid_loop_02.wav,0.95,0.95,,,3000,10000,10500,,,,,ambience,,3d,,,looping,,,,,,,,,curve1,,,,,,,,,,,0.65,,,,,20,90,0.25,1,
