include_wii,code_wii
include_ps3,ps3_savedata
include_ps3,ps3_buttons
include_console,code_console
include_pc,code_pc
include,ui_localize
image,$white
image,$black
image,$blank
image,$gray
image,$identitynormalmap
image,$pixelcostcolorcode
image,logo_small_cod5
rawfile,rumble/damage_heavy
rawfile,rumble/damage_light
rawfile,rumble/defaultweapon_fire
rawfile,rumble/defaultweapon_melee
rawfile,rumble/damage_heavy_h.rmb
rawfile,rumble/damage_heavy_l.rmb
rawfile,rumble/damage_light_h.rmb
rawfile,rumble/damage_light_l.rmb
rawfile,rumble/defaultweapon_fire_h.rmb
rawfile,rumble/defaultweapon_fire_l.rmb
rawfile,rumble/defaultweapon_melee_h.rmb
rawfile,rumble/defaultweapon_melee_l.rmb
rawfile,rumble/explosion_generic
rawfile,rumble/explosion_generic_l.rmb
rawfile,rumble/explosion_generic_h.rmb
rawfile,rumble/tank_rumble
rawfile,rumble/tank_rumble_h.rmb
rawfile,rumble/tank_rumble_l.rmb
rawfile,rumble/artillery_rumble
rawfile,rumble/artillery_rumble_h.rmb
rawfile,rumble/artillery_rumble_l.rmb
rawfile,rumble/grenade_rumble
rawfile,rumble/grenade_rumble_h.rmb
rawfile,rumble/grenade_rumble_l.rmb
rawfile,rumble/barrel_explosion
rawfile,rumble/barrel_explosion_h.rmb
rawfile,rumble/barrel_explosion_l.rmb
rawfile,rumble/tank_fire
rawfile,rumble/tank_fire_sp_h.rmb
rawfile,rumble/tank_fire_sp_l.rmb
rawfile,scriptdebugger/help.txt
rawfile,shock/default.shock
rawfile,shock/hold_breath.shock
rawfile,shock/pain.shock
rawfile,shock/victoryscreen.shock
rawfile,shock/flashbang.shock
rawfile,shock/dog_bite.shock
rawfile,shock/chaplincheat.shock
rawfile,shock/level_end.shock
rawfile,shock/death.shock
rawfile,radiant/keys.txt
rawfile,radiant/clientkeys.txt
rawfile,codescripts/character.gsc
rawfile,codescripts/delete.gsc
rawfile,codescripts/struct.gsc
rawfile,language.cfg
rawfile,thumbstick_default.cfg
rawfile,devgui_scriptart.cfg
rawfile,devgui_maps_sp.cfg
rawfile,devgui_main.cfg
rawfile,devgui_visibility.cfg
rawfile,devgui_renderer.cfg
rawfile,viewsensitivity_med.cfg
rawfile,default.cfg
rawfile,default_statversion.cfg
rawfile,coop_arcademode.cfg
rawfile,avatar_dev.cfg
rawfile,createfx.cfg
rawfile,autoexec_dev.cfg
rawfile,developer.cfg
rawfile,thumbstick_southpaw.cfg
rawfile,thumbstick_legacy.cfg
rawfile,thumbstick_legacysouthpaw.cfg
rawfile,viewsensitivity_low.cfg
rawfile,viewsensitivity_high.cfg
rawfile,viewsensitivity_ultra.cfg
rawfile,devgui_aimassist.cfg
rawfile,devgui_modelpreviewer.cfg
rawfile,default_splitscreen.cfg
rawfile,default_systemlink.cfg
rawfile,default_xboxlive.cfg
rawfile,default_480p.cfg
rawfile,default_720p.cfg
rawfile,devgui_fx.cfg
rawfile,test.cfg
rawfile,minimap.cfg
rawfile,ragdoll.cfg
rawfile,demo.cfg
rawfile,antfarmcodmw1.cfg
rawfile,antfarmcodmw2.cfg
rawfile,enable_art.cfg
rawfile,screenshot.cfg,,
rawfile,screenshot_off.cfg,,
rawfile,screenshot_gun.cfg,,
rawfile,maps/gametypes/_gametypes.txt
rawfile,maps/gametypes/cmp.txt
rawfile,maps/gametypes/arc.txt
rawfile,maps/gametypes/bnk.txt
rawfile,maps/gametypes/zom.txt
snddriverglobals,singleton,,
sound,code,,all_sp
font,fonts/smalldevfont,,
font,fonts/consolefont,,
font,fonts/bigdevfont,,
font,fonts/bigfont,,
