physpreset,brick
xmodel,fx_char_gib_chunk_bone02
xmodel,fx_char_gib_chunk_fat
xmodel,fx_char_gib_chunk_flesh02
xmodel,fx_char_gib_chunk_flesh03
xmodel,fx_char_gib_chunk_meat01
xmodel,fx_char_gib_chunk_meat02
xmodel,fx_debris_stone_01
xmodel,fx_debris_stone_02
xmodel,fx_decal_character_blood
xmodel,fx_glass_piece01
xmodel,fx_glass_piece02
xmodel,fx_rifle_shell
xmodel,fx_wood_splinter01
xmodel,fx_wood_splinter02
material,fonts/devfonts
material,fonts/devfonts_glow
material,fonts/gamefonts_pc
material,fonts/gamefonts_pc_glow
material,gfx_flamethrower_smoke
material,gfx_flamethrower_smoke_add
material,gfx_flamethrower_smoke_z40
material,gfx_fxt_bio_blood_cloud
material,gfx_fxt_bio_bloodburst
material,gfx_fxt_bio_bloodburst_b
material,gfx_fxt_bio_bloodburst_c
material,gfx_fxt_bio_blooddrops
material,gfx_fxt_bio_bloodgush
material,gfx_fxt_debris_arc
material,gfx_fxt_debris_clump
material,gfx_fxt_debris_conc
material,gfx_fxt_debris_cottonpuff
material,gfx_fxt_debris_fine_clump
material,gfx_fxt_debris_fire_ember_cloud_01
material,gfx_fxt_debris_fire_ember_cloud_02
material,gfx_fxt_debris_gib_glass
material,gfx_fxt_debris_gib_glass_cloud_01
material,gfx_fxt_debris_gib_grass
material,gfx_fxt_debris_gib_metal
material,gfx_fxt_debris_gib_rock
material,gfx_fxt_debris_gib_stick
material,gfx_fxt_debris_gib_wood
material,gfx_fxt_debris_plume_dirt
material,gfx_fxt_debris_plume_smoke
material,gfx_fxt_debris_plume_water
material,gfx_fxt_debris_plume_water_z5
material,gfx_fxt_debris_wind_ash
material,gfx_fxt_debris_wind_ash_z10
material,gfx_fxt_distortion_ring_thin
material,gfx_fxt_env_leaves_gib
material,gfx_fxt_env_mist
material,gfx_fxt_env_snow_flake_cloud_01
material,gfx_fxt_env_snow_flake_cloud_04
material,gfx_fxt_env_snow_sheet
material,gfx_fxt_env_water_blood_cloud
material,gfx_fxt_env_water_bubble
material,gfx_fxt_env_water_drip_pcloud_01
material,gfx_fxt_env_water_drip_pcloud_02
material,gfx_fxt_env_water_foam
material,gfx_fxt_env_water_foam2
material,gfx_fxt_env_water_mist
material,gfx_fxt_env_water_ripple
material,gfx_fxt_env_water_splash
material,gfx_fxt_exp_ember_omni
material,gfx_fxt_exp_fire
material,gfx_fxt_fire_flame_base_01
material,gfx_fxt_fire_flame_base_02
material,gfx_fxt_fx_distortion_shc_wave
material,gfx_fxt_fx_distortion_splash
material,gfx_fxt_fx_distortion_water_noise
material,gfx_fxt_fx_lensflare_glow
material,gfx_fxt_fx_spark_field
material,gfx_fxt_fx_spark_impact
material,gfx_fxt_gas_flash
material,gfx_fxt_light_flare
material,gfx_fxt_light_glow
material,gfx_fxt_mud_splash01
material,gfx_fxt_mud_splash02
material,gfx_fxt_muz_vert_gen
material,gfx_fxt_smk_arc
material,gfx_fxt_smk_arc_z5
material,gfx_fxt_smk_darkgrey
material,gfx_fxt_smk_def_3
material,gfx_fxt_smk_def_smk
material,gfx_fxt_smk_gen
material,gfx_fxt_smk_gen_z10
material,gfx_fxt_smk_gen_z20
material,gfx_fxt_smk_gen_z40
material,gfx_fxt_smk_light
material,gfx_fxt_smk_tendril
material,gfx_fxt_smk_tendril_white
material,gfx_fxt_smk_whisp_spiral
material,gfx_fxt_sparks_rndhit
material,mc/com_glass_shattered_outside
material,mc/gfx_bullethit_mudsplash01
material,mc/gfx_bullethit_mudsplash02
material,mc/gfx_bullethit_sand
material,mc/gfx_bullethit_snow
material,mc/gfx_crater_blacktop
material,mc/gfx_crater_dirt
material,mc/gfx_crater_snow_grenade
material,mc/gfx_impact_black01
material,mc/gfx_impact_black02
material,mc/gfx_impact_blood_spatter01
material,mc/gfx_impact_blood_spatter02
material,mc/gfx_impact_blood_spatter03
material,mc/gfx_impact_concrete01
material,mc/gfx_impact_concrete02
material,mc/gfx_impact_fabric
material,mc/gfx_impact_glass01
material,mc/gfx_impact_glass02
material,mc/gfx_impact_metal01
material,mc/gfx_impact_metal02
material,mc/gfx_impact_metal03
material,mc/gfx_impact_metal05
material,mc/gfx_impact_plaster01
material,mc/gfx_impact_plaster02
material,mc/gfx_impact_wood01
material,mc/gfx_impact_wood02
material,mc/gfx_impact_wood03
material,mc/mtl_fx_char_gib_chunks
material,mc/mtl_fx_decal_character_blood
material,mc/mtl_fx_dest_atlas
material,mc/mtl_fx_shell
material,mc/mtl_fx_wood_splinter
material,wc/gfx_bullethit_mudsplash01
material,wc/gfx_bullethit_mudsplash02
material,wc/gfx_bullethit_sand
material,wc/gfx_bullethit_snow
material,wc/gfx_crater_blacktop
material,wc/gfx_crater_dirt
material,wc/gfx_crater_snow_grenade
material,wc/gfx_impact_black01
material,wc/gfx_impact_black02
material,wc/gfx_impact_blood_spatter01
material,wc/gfx_impact_blood_spatter02
material,wc/gfx_impact_blood_spatter03
material,wc/gfx_impact_concrete01
material,wc/gfx_impact_concrete02
material,wc/gfx_impact_fabric
material,wc/gfx_impact_glass01
material,wc/gfx_impact_glass02
material,wc/gfx_impact_metal01
material,wc/gfx_impact_metal02
material,wc/gfx_impact_metal03
material,wc/gfx_impact_metal05
material,wc/gfx_impact_plaster01
material,wc/gfx_impact_plaster02
material,wc/gfx_impact_wood01
material,wc/gfx_impact_wood02
material,wc/gfx_impact_wood03
techset,2d
techset,distortion_scale
techset,distortion_scale_zfeather
techset,effect
techset,effect_add
techset,effect_add_nofog
techset,effect_nofog
techset,effect_zfeather
techset,effect_zfeather_add
techset,effect_zfeather_add_nofog
techset,effect_zfeather_nofog
techset,mc_l_hsm_b0c0
techset,mc_l_hsm_b0c0n0
techset,mc_l_hsm_b0c0n0s0
techset,mc_l_hsm_b0c0s0
techset,mc_l_hsm_r0c0
techset,mc_l_hsm_r0c0d0
techset,mc_l_hsm_r0c0d0n0
techset,mc_l_hsm_r0c0d0n0s0
techset,mc_l_hsm_r0c0d0s0
techset,mc_l_hsm_r0c0n0
techset,mc_l_hsm_r0c0n0s0
techset,mc_l_hsm_r0c0s0
techset,mc_l_sm_b0c0
techset,mc_l_sm_b0c0n0
techset,mc_l_sm_b0c0n0s0
techset,mc_l_sm_b0c0s0
techset,mc_l_sm_r0c0
techset,mc_l_sm_r0c0d0
techset,mc_l_sm_r0c0d0n0
techset,mc_l_sm_r0c0d0n0s0
techset,mc_l_sm_r0c0d0s0
techset,mc_l_sm_r0c0n0
techset,mc_l_sm_r0c0n0s0
techset,mc_l_sm_r0c0s0
techset,mc_projected_decal_lit
techset,particle_cloud
techset,particle_cloud_add
techset,particle_cloud_outdoor
techset,particle_cloud_outdoor_add
techset,wc_l_hsm_b0c0
techset,wc_l_hsm_b0c0n0
techset,wc_l_hsm_b0c0n0s0
techset,wc_l_hsm_b0c0s0
techset,wc_l_sm_b0c0
techset,wc_l_sm_b0c0n0
techset,wc_l_sm_b0c0n0s0
techset,wc_l_sm_b0c0s0
image,$identitynormalmap
image,blood_spatter01_col
image,blood_spatter01_nml
image,blood_spatter02_col
image,blood_spatter02_nml
image,blood_spatter03_col
image,blood_spatter03_nml
image,bullethit_sand
image,bullethit_snow
image,bullethole1
image,bullethole2
image,crater_blacktop
image,crater_dirt
image,crater_snow_grenade
image,devfonts
image,fx_decal_character_blood_c
image,fx_dest_atlas_c
image,fx_shell_col
image,fx_shell_nml
image,fx_wood_splinter_col
image,fxt_bio_blood_cloud
image,fxt_bio_bloodburst
image,fxt_bio_bloodburst_b
image,fxt_bio_bloodburst_c
image,fxt_bio_blooddrops
image,fxt_bio_bloodgush
image,fxt_debris_arc
image,fxt_debris_clump
image,fxt_debris_cottonpuff
image,fxt_debris_fine_clump
image,fxt_debris_fire_ember_cloud_01
image,fxt_debris_fire_ember_cloud_02
image,fxt_debris_gib_concrete
image,fxt_debris_gib_glass_cloud_01
image,fxt_debris_gib_grass
image,fxt_debris_gib_metal
image,fxt_debris_gib_rock
image,fxt_debris_gib_stick
image,fxt_debris_gib_wood
image,fxt_debris_glass
image,fxt_debris_plume_dirt
image,fxt_debris_plume_smoke
image,fxt_debris_plume_water
image,fxt_debris_wind_ash
image,fxt_distortion_ring_thin
image,fxt_env_leaves_gib
image,fxt_env_mist
image,fxt_env_snow_flake_cloud_01
image,fxt_env_snow_flake_cloud_02
image,fxt_env_snow_flake_cloud_04
image,fxt_env_snow_sheet
image,fxt_env_water_bubble
image,fxt_env_water_foam
image,fxt_env_water_foam2
image,fxt_env_water_mist
image,fxt_env_water_ripple
image,fxt_env_water_splash
image,fxt_exp_ember_omni
image,fxt_exp_fire
image,fxt_exp_spark_impact
image,fxt_fire_flame_base_01
image,fxt_fire_flame_base_02
image,fxt_fire_gas_flash
image,fxt_fx_distortion_shc_wave
image,fxt_fx_distortion_splash
image,fxt_fx_distortion_water_noise
image,fxt_fx_lensflare_glow
image,fxt_fx_spark_field
image,fxt_impact_fabric_c
image,fxt_impact_fabric_n
image,fxt_light_flare
image,fxt_light_glow
image,fxt_mud_splash01
image,fxt_mud_splash02
image,fxt_muz_vert_gen
image,fxt_smk_arc
image,fxt_smk_darkgrey
image,fxt_smk_def_3
image,fxt_smk_def_smk
image,fxt_smk_flamethrower_arc
image,fxt_smk_gen
image,fxt_smk_light
image,fxt_smk_tendril
image,fxt_smk_tendril_white
image,fxt_sparks_rndhit
image,gamefonts_pc
image,glass_shattered_col
image,glass_shattered_nml
image,impact_concrete01_col#0
image,impact_concrete01_nml
image,impact_concrete02_col#0
image,impact_concrete02_nml
image,impact_glass01_col
image,impact_glass02_col
image,impact_metal01_col
image,impact_metal01_nml
image,impact_metal02_col
image,impact_metal02_nml
image,impact_metal03_col
image,impact_metal03_nml
image,impact_metal05_col
image,impact_metal05_nml
image,impact_plaster01_col#0
image,impact_plaster01_nml
image,impact_plaster02_col#0
image,impact_plaster02_nml
image,impact_wood01_col#0
image,impact_wood01_nml
image,impact_wood02_col#0
image,impact_wood02_nml
image,impact_wood03_col#0
image,impact_wood03_nml
image,limbs_c
image,limbs_n
image,mud_splash01
image,mud_splash01_nml
image,mud_splash02
image,mud_splash02_nml
image,skin_pore_detail
image,whisp_spiral
image,~blood_spatter01_spc-rgb&bloo~9cfdaf8d
image,~blood_spatter02_spc-rgb&bloo~a6d465d9
image,~blood_spatter03_spc-rgb&bloo~e6e35445
image,~fx_shell_spc-rgb&fx_shell_cos-l-11
image,~fxt_impact_fabric_s-rgb&$white-l-11
image,~glass_shattered_spc-rgb&glas~36dd5f9b
image,~impact_glass01_spc-rgb&impac~b116ad53
image,~impact_glass02_spc-rgb&impac~1f9b463f
image,~impact_metal01_spc-rgb&impac~f33ed172
image,~impact_metal02_spc-rgb&impac~842c635a
image,~impact_metal03_spc-rgb&impac~645338d2
image,~impact_metal05_spc-rgb&impac~8d920ee5
image,~limbs_s-rgb&limbs_g-l-11
image,~mud_splash01_spc-rgb&mud_spl~b4dbc248
image,~mud_splash02_spc-rgb&mud_spl~9bab0d89
font,fonts/bigfont
font,fonts/boldfont
font,fonts/consolefont
font,fonts/extrabigfont
font,fonts/normalfont
font,fonts/objectivefont
font,fonts/smalldevfont
font,fonts/smallfont
fx,env/smoke/fx_grenade_smk_ling_w
fx,env/smoke/fx_grenade_smoke_w
fx,explosions/default_explosion
fx,explosions/default_explosion_mp
fx,explosions/fx_exp_rocket_metal
fx,explosions/fx_grenade_flash
fx,explosions/grenadeexp_blacktop
fx,explosions/grenadeexp_concrete
fx,explosions/grenadeexp_concrete_1
fx,explosions/grenadeexp_default
fx,explosions/grenadeexp_dirt
fx,explosions/grenadeexp_dirt_1
fx,explosions/grenadeexp_metal
fx,explosions/grenadeexp_mud
fx,explosions/grenadeexp_mud_1
fx,explosions/grenadeexp_snow
fx,explosions/grenadeexp_water
fx,explosions/grenadeexp_wood
fx,explosions/tank_impact_dirt
fx,impacts/20mil_concrete
fx,impacts/20mil_dirthit_libya
fx,impacts/20mm_metalhit
fx,impacts/brickimpact_em2
fx,impacts/cloth_hit
fx,impacts/decal_mudsplash
fx,impacts/default_hit
fx,impacts/distant_conc
fx,impacts/distant_grain
fx,impacts/flesh_hit
fx,impacts/flesh_hit_body_fatal_exit_mp
fx,impacts/flesh_hit_body_fatal_lg_exit_mp
fx,impacts/flesh_hit_body_nonfatal_mp
fx,impacts/flesh_hit_head_fatal_exit_mp
fx,impacts/flesh_hit_head_fatal_lg_exit_mp
fx,impacts/flesh_hit_splat
fx,impacts/flesh_hit_splat_mp
fx,impacts/footstep_dust
fx,impacts/footstep_mud
fx,impacts/footstep_water
fx,impacts/fx_bullet_dirt_sm_uw
fx,impacts/fx_bullet_water_trail_uw
fx,impacts/fx_cushion_hit
fx,impacts/fx_distant_grain
fx,impacts/fx_flesh_hit_body_fatal_uw
fx,impacts/fx_water_hit_tracer
fx,impacts/gravelimpact_em
fx,impacts/impact_em
fx,impacts/large_asphalt
fx,impacts/large_brick
fx,impacts/large_concrete_1
fx,impacts/large_dirt
fx,impacts/large_dirt_1
fx,impacts/large_glass
fx,impacts/large_gravel
fx,impacts/large_metalhit_1
fx,impacts/large_mud
fx,impacts/large_plaster
fx,impacts/large_plaster_1
fx,impacts/large_rock
fx,impacts/large_rock_1
fx,impacts/large_waterhit
fx,impacts/large_woodhit
fx,impacts/small_asphalt
fx,impacts/small_brick
fx,impacts/small_concrete
fx,impacts/small_concrete_1
fx,impacts/small_dirt
fx,impacts/small_dirt_1
fx,impacts/small_foliage
fx,impacts/small_glass
fx,impacts/small_grass
fx,impacts/small_gravel
fx,impacts/small_metalhit
fx,impacts/small_metalhit_1
fx,impacts/small_mud
fx,impacts/small_plaster_1
fx,impacts/small_rock
fx,impacts/small_rock_1
fx,impacts/small_snowhit
fx,impacts/small_waterhit
fx,system_elements/fx_blood_drops_emit
fx,system_elements/fx_blood_streak_wide_emit
fx,system_elements/fx_env_water_bubble_sm_rise
fx,weapon/artillery/fx_artillery_exp_strike_concrte_mp
fx,weapon/artillery/fx_artillery_exp_strike_dirt_mp
fx,weapon/tank/fx_tank_bark_mp
fx,weapon/tank/fx_tank_body_mp
fx,weapon/tank/fx_tank_brick_mp
fx,weapon/tank/fx_tank_dirt_mp
fx,weapon/tank/fx_tank_foliage_mp
fx,weapon/tank/fx_tank_glass_mp
fx,weapon/tank/fx_tank_gravel_mp
fx,weapon/tank/fx_tank_sand_mp
fx,weapon/tank/fx_tank_shell_concrete_mp
fx,weapon/tank/fx_tank_water_mp
impactfx,mp_maps
